MEDDRA_LLT_CODE,MEDDRA_LLT,SNOMED_CT_CODE,SNOMED_CT_FSN
10002211,Anaphylactic shock due to unspecified food,735173007,Shock due to anaphylaxis (disorder)
10002213,Anaphylactic type reaction,39579001,Anaphylaxis (disorder)
10002216,Anaphylactoid reaction,35001004,Non-allergic anaphylaxis (disorder)
10002218,Anaphylaxis,39579001,Anaphylaxis (disorder)
10002224,Anaplastic astrocytoma,82501000119102,Anaplastic astrocytoma of central nervous system (disorder)
10002241,Anasarca,442433009,Anasarca (finding)
10002263,Androgen replacement therapy,724163007,Testosterone replacement therapy (procedure)
10002272,Anemia,271737000,Anemia (disorder)
10002274,Anemia aplastic,306058006,Aplastic anemia (disorder)
10002275,Anemia aplastic aregenerative,306058006,Aplastic anemia (disorder)
10002284,Anemia hemolytic (NOS),61261009,Hemolytic anemia (disorder)
10002285,Anemia hemolytic autoimmune (NOS),413603009,Autoimmune hemolytic anemia (disorder)
10002291,Anemia hemolytic occult,61261009,Hemolytic anemia (disorder)
10002295,Anemia iron deficiency,87522002,Iron deficiency anemia (disorder)
10002309,Anemia primaquine sensitivity type,863953007,Primaquine sensitivity anemia (disorder)
10002315,"Anemia, unspecified",271737000,Anemia (disorder)
10002321,Anesthesia,33653009,Absence of sensation (finding)
10002323,Anesthesia general,50697003,Administration of general anesthetic (procedure)
10002325,Anesthesia local,386761002,Local anesthesia (procedure)
10002326,Anesthetic induction,241687005,Induction of general anesthesia (procedure)
10002329,Aneurysm,432119003,Aneurysm (disorder)
10002330,Aneurysm aortic,67362008,Aortic aneurysm (disorder)
10002333,Aneurysm cerebral,128609009,Intracranial aneurysm (disorder)
10002338,Aneurysm of abdominal aorta,233985008,Abdominal aortic aneurysm (disorder)
10002368,Anger,75408008,Feeling angry (finding)
10002374,Angina agranulocytic,17182001,Agranulocytosis (disorder)
10002375,Angina at rest,59021001,Angina decubitus (disorder)
10002377,Angina attack,194828000,Angina (disorder)
10002383,Angina pectoris,194828000,Angina (disorder)
10002385,Angina pectoris unstable,4557003,Preinfarction syndrome (disorder)
