RDM_NAME_NM,RDM_CODE_CD,MEDDRA_TERM,ACRONYM,ISACTIVE,CREATED_BY,CREATE_DATE_TS,UPDATED_BY,LAST_UPDATE_DATE_TS,SOURCE_SYSTEM
Pertussis-10034738,10034738,Pertussis,PERTU,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Phenylketonuria-10034872,10034872,Phenylketonuria,PKU,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Poliomyelitis-10036012,10036012,Poliomyelitis,POLIO,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Polycystic kidney-10036045,10036045,Polycystic kidney,PKD,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
"Polycystic kidney, autosomal dominant-10036046",10036046,"Polycystic kidney, autosomal dominant",ADPKD,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Polycythaemia vera-10036057,10036057,Polycythaemia vera,PV,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Polymyalgia rheumatica-10036099,10036099,Polymyalgia rheumatica,PMR,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Polymyositis-10036102,10036102,Polymyositis,POLMT,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Polyuria-10036142(Do Not Use),10036142,Polyuria,POLYU,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Post-traumatic stress disorder-10036316,10036316,Post-traumatic stress disorder,PTSD,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Postpartum hemorrhage-10036418(Do Not Use),10036418,Postpartum hemorrhage,PPH,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Premature ejaculation-10036596(Do Not Use),10036596,Premature ejaculation,PME,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_PREMATURE LABOR-10036599(Do Not Use),10036599,PREMATURE LABOR,GYNEC,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Premature labour-10036600,10036600,Premature labour,PTL,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Primary central nervous system lymphoma-10036685,10036685,Primary central nervous system lymphoma,PCNSL,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Progressive supranuclear palsy-10036813,10036813,Progressive supranuclear palsy,PSP,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Promotion of wound healing-10036892,10036892,Promotion of wound healing,WOUNDH,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Prophylaxis-10036898,10036898,Prophylaxis,PROPH,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Prostatitis-10036978,10036978,Prostatitis,PROST,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Pruritus-10037087,10037087,Pruritus,PR,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Psoriasis-10037153,10037153,Psoriasis,PSOR,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Psoriatic arthropathy-10037162,10037162,Psoriatic arthropathy,PSOAR,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Pulmonary embolism-10037377,10037377,Pulmonary embolism,PE,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Pulmonary hypertension-10037400(Do Not Use),10037400,Pulmonary hypertension,PH,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Pustular psoriasis-10037575,10037575,Pustular psoriasis,PUSPSO,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Renal cancer-10038389,10038389,Renal cancer,KRCC,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Renal disorder-10038428,10038428,Renal disorder,RNLD,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Renal failure-10038435(Do Not Use),10038435,Renal failure,RF,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Renal failure acute-10038436,10038436,Renal failure acute,ARF,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Renal failure chronic-10038444,10038444,Renal failure chronic,CKD,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Renal hypertension-10038464(Do Not Use),10038464,Renal hypertension,RH,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Resuscitation-10038749,10038749,Resuscitation,CPR,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Retinitis pigmentosa-10038914,10038914,Retinitis pigmentosa,RP,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Retinopathy-10038923,10038923,Retinopathy,RTNP,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Retinopathy proliferative-10038934(Do Not Use),10038934,Retinopathy proliferative,RTNPP,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Rheumatoid arthritis-10039073,10039073,Rheumatoid arthritis,RA,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Rhinitis-10039083(Do Not Use),10039083,Rhinitis,RHI,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Rhinitis allergic-10039085,10039085,Rhinitis allergic,ALL,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Rhinitis seasonal-10039095,10039095,Rhinitis seasonal,SAR,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Sarcoma-10039491,10039491,Sarcoma,KSAR,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Scar-10039580(Do Not Use),10039580,Scar,SCAR,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Schizophrenia-10039626,10039626,Schizophrenia,SCH,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Scleroderma-10039710,10039710,Scleroderma,SCLDMA,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Sepsis-10040047,10040047,Sepsis,BSI,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Sexual dysfunction-10040477(Do Not Use),10040477,Sexual dysfunction,SDY,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Sickle cell disease-10040644,10040644,Sickle cell disease,SICD,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Sjogren’s syndrome-10040767,10040767,Sjogren’s syndrome,SJOS,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Skin disorder-10040831(Do Not Use),10040831,Skin disorder,SKD,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Sleep apnoea syndrome-10040979,10040979,Sleep apnoea syndrome,SA,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Sleep disorder-10040984,10040984,Sleep disorder,SLD,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Small cell lung cancer stage unspecified-10041071,10041071,Small cell lung cancer stage unspecified,KSCLC,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Social phobia-10041250(Do Not Use),10041250,Social phobia,SP,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Fibrinolysis-10016603(Do Not Use),10016603,Fibrinolysis,FIBRIN,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Fibrosis-10016642,10016642,Fibrosis,FR,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Filariasis-10016674(Do Not Use),10016674,Filariasis,FILARI,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Food allergy-10016946,10016946,Food allergy,FOOD-ALG,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Fracture-10017076,10017076,Fracture,FRCT,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Fungal infection-10017533(Do Not Use),10017533,Fungal infection,FUIN,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Gastric cancer-10017758,10017758,Gastric cancer,KGA,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Gastritis-10017853,10017853,Gastritis,GAS,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Gastroenteritis eosinophilic-10017902,10017902,Gastroenteritis eosinophilic,EGE,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Gastrointestinal disorders-10017947(Do Not Use),10017947,Gastrointestinal disorders,GASD,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Gaucher's disease-10018048,10018048,Gaucher's disease,GCHD,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Gene therapies-10018059(Do Not Use),10018059,Gene therapies,GENETH,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Generalised anxiety disorder-10018075,10018075,Generalised anxiety disorder,GAD,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Giant cell arteritis-10018250,10018250,Giant cell arteritis,GCA,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Glaucoma-10018304,10018304,Glaucoma,GLM,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Glioblastoma-10018336,10018336,Glioblastoma,KGBM,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Glomerulonephritis-10018364,10018364,Glomerulonephritis,GLOMNEPH,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Glomerulonephritis membranous-10018372,10018372,Glomerulonephritis membranous,MNP,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Graft versus host disease-10018651,10018651,Graft versus host disease,GVHD,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Haemangioma-10018814,10018814,Haemangioma,HMG,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Hailey-Hailey disease-10019029,10019029,Hailey-Hailey disease,HHD,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Hearing disorders-10019243(Do Not Use),10019243,Hearing disorders,HEARD,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Heart disease congenital-10019273,10019273,Heart disease congenital,CHD,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Heart failure-10019279,10019279,Heart failure,HF,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Hepatic cirrhosis-10019641(Do Not Use),10019641,Hepatic cirrhosis,HC,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Hepatic fibrosis-10019668,10019668,Hepatic fibrosis,LF,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Hepatic neoplasm malignant-10019697,10019697,Hepatic neoplasm malignant,KHCC,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Hepatitis-10019717,10019717,Hepatitis,HEP,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Hidradenitis suppurativa-10020041,10020041,Hidradenitis suppurativa,HIDRA,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
HIV infection-10020161,10020161,HIV infection,HIV,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Hodgkin's lymphoma-10020328,10020328,Hodgkin's lymphoma,KHL,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Hypercholesterolaemia-10020603,10020603,Hypercholesterolaemia,HYPC,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Hypercoagulation-10020608(Do Not Use),10020608,Hypercoagulation,HCOAG,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Hyperlipidemia-10020667,10020667,Hyperlipidemia,HLD,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
ZZZ_Hyperphosphatemia-10020712(Do Not Use),10020712,Hyperphosphatemia,HPP,No,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Hypersensitivity-10020751,10020751,Hypersensitivity,ALG,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Hypertension-10020772,10020772,Hypertension,HT,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Hypertonic bladder-10020853,10020853,Hypertonic bladder,OAB,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Hypertriglyceridemia-10020870,10020870,Hypertriglyceridemia,HTG,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
