PROJECT_CODE,PROJECT_CATEGORY,PROJECT_ORGANIZATION,PROJECT_NAME,PROJECT_DESCRIPTION,PROJECT_STATUS,PROJECT_PHASE,PROJECT_PRIORITY,PROJECT_INNOVATION_STATUS,PROJECT_RESEARCH_DEVELOPMENT_LINK,PROJECT_SANOFI_THERAPEUTIC_AREA,ASSET_INN,ASSET_BRAND_NAME,ASSET_MECHANISM_OF_ACTION,ASSET_MOA_SHORT_NAME,ASSET_ACTIVE_SUBSTANCE_TYPE,ASSET_ACTIVE_SUBSTANCE_SUBTYPE,ASSET_ORIGIN_OF_ACTIVE_SUBSTANCE,ASSET_PHARMACOLOGICAL_EFFECT,INDICATION_UNIQUE_CODE,INDICATION_LEAD_FLAG,INDICATION_LONGNAME,INDICATION_SHORTNAME,INDICATION_PHASE,INDICATION_CODE_MEDDRA,INDICATION_NAME_MEDDRA,INDICATION_STATUS,INDICATION_SANOFI_THERAPEUTIC_AREA,INDICATION_SANOFI_SUB_THERAPEUTIC_AREA_FRANCHISE,INDICATION_PTRS
LC81658,Research,PHARMA,IL13 x TSLP Nanobody VHH - Next Generation (LC81658),LC81658 - IL13 x TSLP Nanobody VHH - Next Generation,Ongoing,M0-M1,Regular Priority,BiC,,,,,IL13 x TSLP Nanobody VHH - Next Generation,IL13xTSLP Next Gen,Biologics,NBDY,Internal,Blocking,LC81658_IND001,TRUE,Asthma,Asthma,,10003553,Asthma,Ongoing,Immuno-inflammation,Respiratory,
LC81683,Research,PHARMA,IL6 x OX40L Nanobody VHH (LC81683),LC81683 - IL6 x OX40L Nanobody VHH,Ongoing,M0-M1,Regular Priority,FiC,,,,,IL6 x OX40L Nanobody VHH,IL6xOX40L,Biologics,NBDY,Internal,Antagonism,LC81683_IND003,,Atopic Dermatitis,AD,,10012438,Dermatitis atopic,Ongoing,,,
LC81314,Research,PHARMA,NK Cell Therapy - TGFb-conditioned (LC81314),LC81314 - NK Cell Therapy - TGFb-conditioned,Completed,M1-M2,High Priority,BiC,SAR446450,SAR446450,,,NK Cell Therapy - TGFb-conditioned,NK Cell TGFb-cond,Cell Therapy,CELLS,Internal,Cytotoxicity,LC81314_IND001,TRUE,Serie for Bio Oncology Disco,,,10067821,Head and neck cancer,Completed,Oncology,,
SAR153191,Development,PHARMA,Kevzara,SAR153191 - IL6R mAb,Ongoing,LCM,Standard,Little / Uncertain differentiation,,,sarilumab,Kevzara,IL6R mAb,IL6R,Biologics,ANT,Licensed,Inhibition,SAR153191_IND003,FALSE,Polymyalgia Rheumatic,PMR,LCM,10036099,Polymyalgia rheumatica,Ongoing,Immuno-inflammation,Rheumatology,1
LC81691,Research,PHARMA,IL12v fusion protein - ITA bispecific (LC81691),LC81691 - IL12v fusion protein - ITA bispecific,Ongoing,M0-M1,Regular Priority,FiC,,,,,IL12v fusion protein - ITA bispecific,IL12v xITA,Biologics,FUP,Internal,Immune stimulation,LC81691_IND009,,Head and Neck,H&N,,10067821,Head and neck cancer,Ongoing,,,
LC81704,Research,PHARMA,IL22RA1 x IL18 mAb (LC81704),LC81704 - IL22RA1 x IL18 mAb,Ongoing,M0-M1,Regular Priority,Not Defined,,,,,IL22RA1 x IL18 mAb,IL22RA1xIL18,Biologics,ANT,Licensed,Blocking,LC81704_IND001,TRUE,Atopic Dermatitis,AD,,10012438,Dermatitis atopic,Ongoing,Immuno-inflammation,Dermatology,
AVE0010,Development,PHARMA,Lyxumia/Adlyxin,AVE0010 - GLP1R peptide,Completed,LCM,Standard,LCM project,,,lixisenatide,Lyxumia/Adlyxin,GLP1R peptide,GLP1R,Synthetic,PEP,Licensed,Agonism,AVE0010_IND009,FALSE,Lyxumia - T2DM - Immediate Release - Deltaflex - Japan - SC Route,,LCM,10067585,Type 2 diabetes mellitus,Completed,DCVM,,1
SAR342434,Development,PHARMA,Admelog/Insulin lispro Sanofi,SAR342434 - Rapid acting insulin (LISA),Completed,LCM,Standard,LCM project,,,insulin lispro,Admelog/Insulin lispro Sanofi,Rapid acting insulin (LISA),Insulin lispro,Biologics,INS,Internal,Mimetism,SAR342434_IND007,FALSE,YODA - 3mL  prefilled cartridge for Medtronic pump,,,10012594,Diabetes,Stopped,DCVM,,
SAR448972,Development,PHARMA,Ayvakit,SAR448972 - KIT D816V sm,Ongoing,LCM,Standard,FiC,,,avapritinib,Ayvakit,KIT D816V sm,KIT D816V sm,Synthetic,SM,Acquired,Inhibition,SAR448972_IND005,FALSE,Systemic Mastocytosis,SM,LCM,10042949,Systemic mastocytosis,Completed,Rare Diseases,Immune Mediated Blood Disorders,1
LC81648,Research,PHARMA,Synuclein x TFRC mAb (LC81648),LC81648 - Synuclein x TFRC mAb,Ongoing,M0-M1,Regular Priority,BiC,,,,,Synuclein x TFRC mAb,SNCAxTFRC,Biologics,ANT,Licensed,Neutralizing,LC81648_IND002,,Synucleinopathy,Synucleinopathy,,10053643,Neurodegenerative disorder,Ongoing,,,
