PROJECT_CODE,PROJECT_CATEGORY,PROJECT_ORGANIZATION,PROJECT_NAME,PROJECT_DESCRIPTION,PROJECT_STATUS,PROJECT_PHASE,PROJECT_PRIORITY,PROJECT_INNOVATION_STATUS,PROJECT_RESEARCH_DEVELOPMENT_LINK,PROJECT_SANOFI_THERAPEUTIC_AREA,ASSET_INN,ASSET_BRAND_NAME,ASSET_MECHANISM_OF_ACTION,ASSET_MOA_SHORT_NAME,ASSET_ACTIVE_SUBSTANCE_TYPE,ASSET_ACTIVE_SUBSTANCE_SUBTYPE,ASSET_ORIGIN_OF_ACTIVE_SUBSTANCE,ASSET_PHARMACOLOGICAL_EFFECT,INDICATION_UNIQUE_CODE,INDICATION_LEAD_FLAG,INDICATION_LONGNAME,INDICATION_SHORTNAME,INDICATION_PHASE,INDICATION_CODE_MEDDRA,INDICATION_NAME_MEDDRA,INDICATION_STATUS,INDICATION_SANOFI_THERAPEUTIC_AREA,INDICATION_SANOFI_SUB_THERAPEUTIC_AREA_FRANCHISE,INDICATION_PTRS
SAR447610,Development,PHARMA,TFRCxTau MTBR,SAR447610 - TFRC x Tau MTBR mAb,Ongoing,Preclinical,GATE,FiC,LC81211,LC81211,,,TFRC x Tau MTBR mAb,TFRCxTau MTBR,Biologics,ANT,Internal,Clearing,SAR447610_IND001,TRUE,Alzheimer's disease,Alzheimer,Preclinical,10001896,Alzheimer's disease,Ongoing,Neurology,Neurodegenerative diseases,0.09
LC81660,Research,PHARMA,TL1A x a4b7 mAb (LC81660),LC81660 - TL1A x a4b7 mAb,Completed,M1-M2,Regular Priority,BiC,SAR448632,SAR448632,,,TL1A x a4b7 mAb,TL1Ax a4b7,Biologics,ANT,Licensed,Inhibition,LC81660_IND001,TRUE,Ulcerative Colitis,UC,,10009900,Colitis ulcerative,Completed,Immuno-inflammation,Gastroenterology,
LC81706,Research,PHARMA,IL22RA1 x IL31R mAb (LC81706),LC81706 - IL22RA1 x IL31R mAb,Ongoing,M0-M1,Regular Priority,Not Defined,,,,,IL22RA1 x IL31R mAb,IL22RA1xIL31R,Biologics,ANT,Licensed,Blocking,LC81706_IND001,TRUE,Atopic Dermatitis,AD,,10012438,Dermatitis atopic,Ongoing,Immuno-inflammation,Dermatology,
LC81390,Research,PHARMA,PIM1 sm - AI-driven (LC81390),LC81390 - PIM1 sm - AI-driven,Ongoing,M0-M1,High Priority,FiC,,,,,PIM1 sm - AI-driven,PIM1 AI-driven,Synthetic,SM,Internal,Inhibition,LC81390_IND006,,Systemic Lupus Erythematosus,SLE,,10042945,Systemic lupus erythematosus,Ongoing,,,
GZ393590,Development,PHARMA,Clolar/Evoltra,GZ393590 - Purine nucleoside analog,Completed,LCM,Standard,LCM project,,,clofarabine,Clolar/Evoltra,Purine nucleoside analog,Purine nucleoside,Synthetic,SM,Acquired,Mimetism,GZ393590_IND002,FALSE,Acute Lymphoblastic Leukemia Pediatric - Japan,,LCM,10000845,Acute lymphoblastic leukemia,Completed,Oncology,,1
SAR650984,Development,PHARMA,Sarclisa,SAR650984 - CD38 mAb,Ongoing,LCM,Medium,BiC,,,isatuximab,Sarclisa,CD38 mAb,CD38,Biologics,ANT,Licensed,Binding,SAR650984_IND009,FALSE,SMM - High-Risk - Combo Lenalidomide,Smoldering MM w/Rd,Phase 3,10075894,Smoldering myeloma,Ongoing,Oncology,Multiple Myeloma,0.58
LC81648,Research,PHARMA,Synuclein x TFRC mAb (LC81648),LC81648 - Synuclein x TFRC mAb,Ongoing,M0-M1,Regular Priority,BiC,,,,,Synuclein x TFRC mAb,SNCAxTFRC,Biologics,ANT,Licensed,Neutralizing,LC81648_IND001,TRUE,Parkinson's Disease,Parkinson,,10061536,Parkinson's disease,Ongoing,Neurology,Neurodegenerative diseases,
LC81363,Research,PHARMA,TFRC x DUX4 NDC (LC81363),LC81363 - TFRC x DUX4 NDC,Ongoing,M1-M2,Regular Priority,BiC,,,,,TFRC x DUX4 NDC,TFRCxDUX4,Biologics,NDC,Licensed,Down-regulation,LC81363_IND001,TRUE,Facioscapulohumeral Muscular Dystrophy,FSHD,,10064087,Facioscapulohumeral muscular dystrophy,Ongoing,Rare Disease Research,Neuromuscular Diseases,
LC81376,Research,PHARMA,PD1 x OX40L Hybrid (LC81376),LC81376 - PD1 x OX40L Hybrid,Ongoing,M1-M2,High Priority,FiC,SAR449397,SAR449397,,,PD1 x OX40L Hybrid,PD1xOX40L,Biologics,HYB,Internal,Immune modulation,LC81376_IND002,,Colitis ulcerative,UC,,10009900,Colitis ulcerative,Ongoing,,,
SAR441344,Development,PHARMA,frexalimab,SAR441344 - CD40L mAb,Ongoing,Phase 3,High,BiC,XC01129,XC01129,frexalimab,,CD40L mAb,CD40L,Biologics,ANT,Internal,Antagonism,SAR441344_IND009,FALSE,Primary Focal Segmental Glomerular Sclerosis / Minimal Change Disease - Adult & Ped - 2yr+,PFSGS/MCD,Phase 2A,10067757,Focal segmental glomerulosclerosis,Ongoing,Rare Diseases,Rare Renal and Bone Disorders,0.18
SAR650984,Development,PHARMA,Sarclisa,SAR650984 - CD38 mAb,Ongoing,LCM,Medium,BiC,,,isatuximab,Sarclisa,CD38 mAb,CD38,Biologics,ANT,Licensed,Binding,SAR650984_IND005,FALSE,1L NDMM - Te - Combo Bortezomib-Lenalidomide (GMMG),1L NDMM Te w/VRd-GMMG,LCM,10028228,Multiple myeloma,Ongoing,Oncology,Multiple Myeloma,0.7
XRP6976,Development,PHARMA,Taxotere,XRP6976 - Tubulin  inh.,Completed,LCM,Standard,LCM project,,,docetaxel,Taxotere,Tubulin  inh.,Tubulin,Synthetic,SM,Licensed,Inhibition,XRP6976_IND008,FALSE,One Vial - 160mg/8ml,,LCM,10065252,Solid tumor,Completed,Oncology,,1
ALX0081,Development,PHARMA,Cablivi,ALX0081 - vWF Nanobody VHH,Completed,LCM,Standard,FiC,,,caplacizumab,Cablivi,vWF Nanobody VHH,vWF VHH,Biologics,NBDY,Acquired,Inhibition,ALX0081_IND003,FALSE,Acquired Thrombotic Thrombocytopenic Purpura - w/o 1st-Line plasma exchange (label update) in US and JP,aTTP - w/o 1L PLEX – US&JP,Phase 3,10043648,Thrombotic thrombocytopenic purpura,Stopped,Rare Diseases,Immune Mediated Blood Disorders,
LC81324,Research,PHARMA,MAP4K2 sm (LC81324),LC81324 - MAP4K2 sm,Ongoing,M0-M1,Regular Priority,FiC,,,,,MAP4K2 sm,MAP4K2,Synthetic,SM,Internal,Inhibition,LC81324_IND001,TRUE,RAS-mutated Multiple Myeloma,RAS-mutated MM,,10028228,Multiple myeloma,Ongoing,Oncology,Multiple Myeloma,
SAR650984,Development,PHARMA,Sarclisa,SAR650984 - CD38 mAb,Ongoing,LCM,Medium,BiC,,,isatuximab,Sarclisa,CD38 mAb,CD38,Biologics,ANT,Licensed,Binding,SAR650984_IND019,FALSE,1L ALL - Mono,1L ALL - Mono,,10000845,Acute lymphoblastic leukemia,Stopped,Oncology,,
LC81311,Research,PHARMA,ITK x TXK sm (LC81311),LC81311 - ITK x TXK sm,Ongoing,M1-M2,Regular Priority,FiC,SAR449598,SAR449598,,,ITK x TXK sm,ITK x TXK,Synthetic,SM,Internal,Inhibition,LC81311_IND005,,Inflammatory Bowel Disease,IBD,,10021972,Inflammatory bowel disease,Ongoing,,,
SAR443765,Development,PHARMA,lunsekimig,SAR443765 - IL13 x TSLP Nanobody VHH,Ongoing,Phase 2,Medium,FiC,XC01141,XC01141,lunsekimig,,IL13 x TSLP Nanobody VHH,IL13xTSLP,Biologics,NBDY,Internal,Blocking,SAR443765_IND005,FALSE,Asthma - High Risk - Adult & Ped - 12-17 years,Asthma – High Risk,Phase 2,10003553,Asthma,Ongoing,Immuno-inflammation,Respiratory,0.17
SAR445761,Development,PHARMA,Rezurock ,SAR445761 - ROCK2 sm,Ongoing,LCM,Standard,FiC,,,belumosudil,Rezurock ,ROCK2 sm,ROCK2,Synthetic,SM,Acquired,Inhibition,SAR445761_IND002,TRUE,Chronic Lung Allograft Dysfunction,CLAD,Phase 3,10089357,Chronic lung allograft dysfunction,Ongoing,Transplant,Transplant (Solid Organs),0.34
HMR1726,Development,PHARMA,Aubagio,HMR1726 - DHO-DH sm,Completed,LCM,Standard,LCM project,,,teriflunomide,Aubagio,DHO-DH sm,DHO-DH,Synthetic,SM,Internal,Inhibition,HMR1726_IND005,FALSE,Multiple Sclerosis - Adjunct Therapy,,,10028245,Multiple sclerosis,Stopped,Neurology,,
LC81654,Research,PHARMA,CD98 x aC1s mAb (LC81654),LC81654 - CD98 x aC1s mAb,Ongoing,M1-M2,Regular Priority,FiC,,,,,CD98 x aC1s mAb,CD98x aC1s,Biologics,ANT,Internal,Inhibition,LC81654_IND001,TRUE,Alzheimer's Disease,Alzheimer,,10001896,Alzheimer's disease,Ongoing,Neurology,Neurodegenerative diseases,
SP0268,Development,VACCINE,C acnes mRNA,Cutibacterium acnes mRNA vaccine,Ongoing,Phase 2,Very High,FiC,,,,,Active Immunization,,Biologics,MRNAV,Acquired,,SP0268_IND002,FALSE,Acne - mild,Acne - mild,Phase 2,10000496,Acne,Ongoing,Vaccines,Innovation & Vaccine Value,0.26
LC81414,Research,PHARMA,IL10R Nanobody VHH (LC81414),LC81414 - IL10R Nanobody VHH,Ongoing,M0-M1,Regular Priority,FiC,,,,,IL10R Nanobody VHH,IL10R VHH,Biologics,NBDY,Licensed,Agonism,LC81414_IND003,,Systemic Lupus Erythematosus,SLE,,10042945,Systemic lupus erythematosus,Ongoing,,,
LC81419,Research,PHARMA,STAT4 sm (LC81419),LC81419 - STAT4 sm,Ongoing,M0-M1,Regular Priority,FiC,,,,,STAT4 sm,STAT4,Synthetic,SM,Internal,Inhibition,LC81419_IND003,,Vitiligo,Vitiligo,,10047642,Vitiligo,Ongoing,,,
XC01158,Research,PHARMA,STAT6 sm - Degrader (XC01158),XC01158 - STAT6 sm - Degrader,Completed,M1-M2,High Priority,FiC,SAR448272,SAR448272,,,STAT6 sm - Degrader,STAT6 Degrader,Synthetic,SM,Licensed,Degradation,XC01158_IND003,,Chronic Rhinosinusitis with Nasal Polyps,CRSwNP,,10080060,Chronic rhinosinusitis with nasal polyps,Ongoing,,,
LC81695,Research,PHARMA,CXCR3 x CCR6 sm (LC81695),LC81695 - CXCR3 x CCR6 sm,Ongoing,M0-M1,Regular Priority,FiC,,,,,CXCR3 x CCR6 sm,CXCR3xCCR6,Synthetic,SM,Licensed,Antagonism,LC81695_IND004,,Hidradenitis suppurativa,HS,,10020041,Hidradenitis suppurativa,Ongoing,,,
LC81694,Research,PHARMA,CD19 x BCMA x Dectin1 Hybrid (MCE) (LC81694),LC81694 - CD19 x BCMA x Dectin1 Hybrid (MCE),Ongoing,M0-M1,Regular Priority,BiC,,,,,CD19 x BCMA x Dectin1 Hybrid (MCE),CD19xBCMAxDectin1 MCE,Biologics,HYB,Licensed,Cytotoxicity,LC81694_IND004,,Inclusion body myositis,Myositis,,10066407,Inclusion body myositis,Ongoing,,,
LC81667,Research,PHARMA,BTLA x PD1 Hybrid (LC81667),LC81667 - BTLA x PD1 Hybrid,Ongoing,M0-M1,Regular Priority,FiC,,,,,BTLA x PD1 Hybrid,BTLAxPD1,Biologics,HYB,Internal,Agonism,LC81667_IND002,,Rheumatoid Arthritis,RA,,10039073,Rheumatoid arthritis,Ongoing,,,
SAR447816,Development,PHARMA,uliledlimab,SAR447816 - CD73 mAb,Ongoing,Phase 2,GATE,BiC,,,uliledlimab,,CD73 mAb,CD73,Biologics,ANT,Licensed,Antagonism,SAR447816_IND002,TRUE,1L NSCLC - Combo anti PD-1 + Chemo,1L NSCLC w/PD1+CT,Phase 2,10061873,Non-small cell lung cancer,Ongoing,Oncology,Lung Cancer,0.3
AVE0010,Development,PHARMA,Lyxumia/Adlyxin,AVE0010 - GLP1R peptide,Completed,LCM,Standard,LCM project,,,lixisenatide,Lyxumia/Adlyxin,GLP1R peptide,GLP1R,Synthetic,PEP,Licensed,Agonism,AVE0010_IND010,FALSE,Lyxumia - T2DM - any OAD - Japan,,LCM,10067585,Type 2 diabetes mellitus,Completed,DCVM,,1
SAR439684,Development,PHARMA,Libtayo,SAR439684 - PD1 mAb,Completed,LCM,Standard,Little / Uncertain differentiation,,,cemiplimab,Libtayo,PD1 mAb,PD1,Biologics,ANT,Licensed,Inhibition,SAR439684_IND009,FALSE,2L NSCLC - Chemo Combo,2L NSCLC w/ Chemo,Phase 3,10061873,Non-small cell lung cancer,Stopped,Oncology,,
SAR441344,Development,PHARMA,frexalimab,SAR441344 - CD40L mAb,Ongoing,Phase 3,High,BiC,XC01129,XC01129,frexalimab,,CD40L mAb,CD40L,Biologics,ANT,Internal,Antagonism,SAR441344_IND003,FALSE,Systemic Lupus Erythematosus,SLE,Phase 2A,10042945,Systemic lupus erythematosus,Stopped,Immuno-inflammation,Rheumatology,
AVE0010,Development,PHARMA,Lyxumia/Adlyxin,AVE0010 - GLP1R peptide,Completed,LCM,Standard,LCM project,,,lixisenatide,Lyxumia/Adlyxin,GLP1R peptide,GLP1R,Synthetic,PEP,Licensed,Agonism,AVE0010_IND002,FALSE,Parkinson,Parkinson,Phase 1,10061536,Parkinson's disease,Stopped,Neurology,,
LC81665,Research,PHARMA,a4b7 x PD1 Hybrid (LC81665),LC81665 - a4b7 x PD1 Hybrid,Ongoing,M0-M1,Regular Priority,FiC,,,,,a4b7 x PD1 Hybrid,a4b7xPD1,Biologics,HYB,Internal,Modulation,LC81665_IND001,TRUE,Inflammatory Bowel Disease,IBD,,10021972,Inflammatory bowel disease,Ongoing,Immuno-inflammation,Gastroenterology,
LC81412,Research,PHARMA,SLC15A4 sm (LC81412),LC81412 - SLC15A4 sm,Ongoing,M1-M2,High Priority,FiC,,,,,SLC15A4 sm,SLC15A4,Synthetic,SM,Licensed,Inhibition,LC81412_IND001,TRUE,Inflammatory Bowel Disease,IBD,,10021972,Inflammatory bowel disease,Ongoing,Immuno-inflammation,Gastroenterology,
LC80963,Research,PHARMA,TGFb mAb (LC80963),LC80963 - TGFb mAb,Completed,M1-M2,,FiC,"SAR444257,SAR439459","SAR444257,SAR439459",,,TGFb mAb,TGFb,Biologics,ANT,Internal,Inhibition,LC80963_IND001,FALSE,Discovery - LEAD-MS2 - Previous - Completed,,,,,Completed,Rare Disease Research,,
SAR449124,Development,PHARMA,Redemplo,SAR449124 - Apolipoprotein C-III siRNA,Ongoing,LCM,Medium,FiC,,,plozasiran,Redemplo,Apolipoprotein C-III siRNA,APOC3 siRNA,Synthetic,OLIG,Licensed,Reduction,SAR449124_IND002,TRUE,Severe Hypertriglyceridemia-China,sHTG - CN,Phase 3,10020870,Hypertriglyceridemia,Ongoing,DCVM,Cardiovasc & Metabolism Disorders,0.68
SAR231893,Development,PHARMA,Dupixent,SAR231893 - IL4R mAb,Ongoing,LCM,High,FiC,,,dupilumab,Dupixent,IL4R mAb,IL4R,Biologics,ANT,Licensed,Inhibition,SAR231893_IND016,FALSE,Prurigo Nodularis - Adult & Ped 6 mos-17 yrs,PN,LCM,10037084,Prurigo nodularis,Completed,Immuno-inflammation,Dermatology,1
LC81424,Research,PHARMA,IL17A sm - Next Generation (LC81424),LC81424 - IL17A sm - Next Generation,Ongoing,M1-M2,High Priority,BiC,,,,,IL17A sm - Next Generation,IL17A Next Gen,Synthetic,SM,Internal,Antagonism,LC81424_IND001,TRUE,Hidradenitis Suppurativa,HS,,10020041,Hidradenitis suppurativa,Ongoing,Immuno-inflammation,Dermatology,
SAR442970,Development,PHARMA,brivekimig,SAR442970 - TNFa x OX40L Nanobody VHH,Ongoing,Phase 2B,GATE,FiC,XC01135,XC01135,brivekimig,,TNFa x OX40L Nanobody VHH,TNFa xOX40L,Biologics,NBDY,Internal,Blocking,SAR442970_IND001,TRUE,Hidradenitis Suppurativa,HS,Phase 2B,10020041,Hidradenitis suppurativa,Ongoing,Immuno-inflammation,Dermatology,0.54
SAR439684,Development,PHARMA,Libtayo,SAR439684 - PD1 mAb,Completed,LCM,Standard,Little / Uncertain differentiation,,,cemiplimab,Libtayo,PD1 mAb,PD1,Biologics,ANT,Licensed,Inhibition,SAR439684_IND005,FALSE,1L NSCLC - Combo Chemo,1L NSCLC w/Chemo,LCM,10061873,Non-small cell lung cancer,Completed,Oncology,Lung,1
SP0268,Development,VACCINE,C acnes mRNA,Cutibacterium acnes mRNA vaccine,Ongoing,Phase 2,Very High,FiC,,,,,Active Immunization,,Biologics,MRNAV,Acquired,,SP0268_IND001,TRUE,Acne - moderate to severe,Acne - moderate to severe,Phase 2,10000496,Acne,Ongoing,Vaccines,Innovation & Vaccine Value,0.26
LC81396,Research,PHARMA,IRF5 sm (LC81396),LC81396 - IRF5 sm,Ongoing,M0-M1,High Priority,FiC,,,,,IRF5 sm,IRF5,Synthetic,SM,Internal,Inhibition,LC81396_IND002,,Inflammatory Bowel Disease,IBD,,10021972,Inflammatory bowel disease,Ongoing,,,
LC81311,Research,PHARMA,ITK x TXK sm (LC81311),LC81311 - ITK x TXK sm,Ongoing,M1-M2,Regular Priority,FiC,SAR449598,SAR449598,,,ITK x TXK sm,ITK x TXK,Synthetic,SM,Internal,Inhibition,LC81311_IND004,,Asthma,Asthma,,10003553,Asthma,Ongoing,,,
SAR445088,Development,PHARMA,riliprubart,SAR445088 - Complement C1s mAb - Active form,Ongoing,Phase 3,Standard,FiC,LC81265,LC81265,riliprubart,,Complement C1s mAb - Active form,aC1s,Biologics,ANT,Acquired,Inhibition,SAR445088_IND003,TRUE,Chronic Inflammatory Demyelinating Polyneuropathy - Refractory,CIDP - Refractory,Phase 3,10057645,Chronic inflammatory demyelinating polyradiculoneuropathy,Ongoing,Neurology,Neuro-inflammation,0.6
HMR1726,Development,PHARMA,Aubagio,HMR1726 - DHO-DH sm,Completed,LCM,Standard,LCM project,,,teriflunomide,Aubagio,DHO-DH sm,DHO-DH,Synthetic,SM,Internal,Inhibition,HMR1726_IND007,FALSE,Multiple Sclerosis - Monotherapy - Japan,,,10028245,Multiple sclerosis,Stopped,Neurology,,
LC81691,Research,PHARMA,IL12v fusion protein - ITA bispecific (LC81691),LC81691 - IL12v fusion protein - ITA bispecific,Ongoing,M0-M1,Regular Priority,FiC,,,,,IL12v fusion protein - ITA bispecific,IL12v xITA,Biologics,FUP,Internal,Immune stimulation,LC81691_IND004,,Pancreatic Cancer,Pancreatic Cancer,,10033609,Pancreatic carcinoma,Ongoing,,,
LC81248,Research,PHARMA,RIPK1 sm - CNS penetrant (LC81248),LC81248 - RIPK1 sm - CNS penetrant,Completed,M1-M2,Regular Priority,BiC,SAR445992,SAR445992,,,RIPK1 sm - CNS penetrant,RIPK1 CNS - 2nd BU,Synthetic,SM,Acquired,Inhibition,LC81248_IND001,FALSE,Multiple Sclerosis - back up SAR445992 - Completed,MS,,10028245,Multiple sclerosis,Completed,Neurology,,
LC81334,Research,PHARMA,TFRC x DMPK NDC (LC81334),LC81334 - TFRC x DMPK NDC,Ongoing,M1-M2,High Priority,FiC,,,,,TFRC x DMPK NDC,TFRCxDMPK,Biologics,NDC,Internal,Knockdown,LC81334_IND001,TRUE,Myotonic Dystrophy Type 1,DM1,,10068871,Myotonic dystrophy,Ongoing,Rare Disease Research,Neuromuscular Diseases,
LC81267,Research,PHARMA,TIGIT mAb (LC81267),LC81267 - TIGIT mAb,Ongoing,M1-M2,Regular Priority,FiC,,,,,TIGIT mAb,TIGIT mAb,Biologics,ANT,Internal,Agonism,LC81267_IND003,,Myositis,Myositis,,10067584,Type 1 diabetes mellitus,Ongoing,,,
LC81417,Research,PHARMA,CD19 in vivo CAR-T (CD8 targeted) (LC81417),LC81417 - CD19 in vivo CAR-T (CD8 targeted),Completed,M1-M2,High Priority,FiC,SAR447998,SAR447998,,,CD19 in vivo CAR-T (CD8 targeted),CD19 CAR-T (CD8 targeted),Biologics,NV GT,Internal,Cytotoxicity,LC81417_IND007,,Myasthenia Gravis,MG,,10028417,Myasthenia gravis,Completed,,,
LC81655,Research,PHARMA,CD98 x GLP1R mAb (LC81655),LC81655 - CD98 x GLP1R mAb,Ongoing,M1-M2,Regular Priority,BiC,,,,,CD98 x GLP1R mAb,CD98xGLP1R,Biologics,ANT,Internal,Agonism,LC81655_IND003,,Obesity,Obesity,,10029883,Obesity,Ongoing,,,
LC80014,Research,PHARMA,PIP5K2B sm (LC80014),LC80014 - PIP5K2B sm,Ongoing,M1-M2,Regular Priority,FiC,,,,,PIP5K2B sm,PIP5K2B,Synthetic,SM,Internal,Inhibition,LC80014_IND001,TRUE,Idiopathic Pulmonary Fibrosis,IPF,,10021240,Idiopathic pulmonary fibrosis,Ongoing,Immuno-inflammation,Respiratory,
LC81688,Research,PHARMA,ST2 x TSLP Nanobody VHH (LC81688),LC81688 - ST2 x TSLP Nanobody VHH,Ongoing,M0-M1,Regular Priority,FiC,,,,,ST2 x TSLP Nanobody VHH,ST2xTSLP,Biologics,NBDY,Internal,Antagonism,LC81688_IND001,TRUE,Asthma,Asthma,,10003553,Asthma,Ongoing,Immuno-inflammation,Respiratory,
SAR341402,Development,PHARMA,Truvelog/Insulin aspart,SAR341402 - Rapid acting insulin (SARA),Completed,LCM,Standard,FiC,,,insulin aspart,Truvelog/Insulin aspart,Rapid acting insulin (SARA),Insulin aspart,Biologics,INS,Internal,Mimetism,SAR341402_IND003,TRUE,T1 & T2 Diabetes Mellitus - Solution - BioS,T1&T2 DM - Sol - BioS,LCM,10012594,Diabetes,Completed,DCVM,T1 & T2 Diabetes,1
SAR231893,Development,PHARMA,Dupixent,SAR231893 - IL4R mAb,Ongoing,LCM,High,FiC,,,dupilumab,Dupixent,IL4R mAb,IL4R,Biologics,ANT,Licensed,Inhibition,SAR231893_IND036,FALSE,Atopic Dermatitis - Ped - Maintenance Treatment,,,,,Stopped,Immuno-inflammation,,
LC81697,Research,PHARMA,Pan KRAS sm (LC81697),LC81697 - Pan KRAS sm,Completed,M1-M2,,,SAR449336,SAR449336,,,Pan KRAS sm,Pan KRAS,Synthetic,SM,Acquired,Inhibition,LC81697_IND001,TRUE,Lung Cancer,Lung Cancer,,10058467,Lung neoplasm malignant,Ongoing,Oncology,Lung Cancer,
LC81419,Research,PHARMA,STAT4 sm (LC81419),LC81419 - STAT4 sm,Ongoing,M0-M1,Regular Priority,FiC,,,,,STAT4 sm,STAT4,Synthetic,SM,Internal,Inhibition,LC81419_IND002,,Hidradenitis Suppurativa,HS,,10020041,Hidradenitis suppurativa,Ongoing,,,
SAR342434,Development,PHARMA,Admelog/Insulin lispro Sanofi,SAR342434 - Rapid acting insulin (LISA),Completed,LCM,Standard,LCM project,,,insulin lispro,Admelog/Insulin lispro Sanofi,Rapid acting insulin (LISA),Insulin lispro,Biologics,INS,Internal,Mimetism,SAR342434_IND006,FALSE,T1 & T2 Diabetes - Premix 50/50 (NPL/Insulin Lispro),,,10012594,Diabetes,Stopped,DCVM,,
SAR650984,Development,PHARMA,Sarclisa,SAR650984 - CD38 mAb,Ongoing,LCM,Medium,BiC,,,isatuximab,Sarclisa,CD38 mAb,CD38,Biologics,ANT,Licensed,Binding,SAR650984_IND023,FALSE,Prostate Cancer - Combo Abiraterone,Prostate Cancer w/Ab,,10060862,Prostate cancer,Stopped,Oncology,,
SAR441344,Development,PHARMA,frexalimab,SAR441344 - CD40L mAb,Ongoing,Phase 3,High,BiC,XC01129,XC01129,frexalimab,,CD40L mAb,CD40L,Biologics,ANT,Internal,Antagonism,SAR441344_IND001,FALSE,Sjogren's Syndrome,Sjogren's,Phase 2A,10040767,Sjogren’s syndrome,Stopped,Immuno-inflammation,Rheumatology,
SAR444671,Development,PHARMA,Wayrilz,SAR444671 - BTK sm,Ongoing,LCM,Medium,FiC,,,rilzabrutinib,Wayrilz,BTK sm,BTK,Synthetic,SM,Acquired,Inhibition,SAR444671_IND013,FALSE,Graves' Disease - Adult & Ped - 12-17 years,Graves - Adult & 12-17y,Phase 2,10018706,Graves' disease,Ongoing,Immuno-inflammation,Other,0.2
LC81425,Research,PHARMA,TL1A x OX40L mAb (LC81425),LC81425 - TL1A x OX40L mAb,Ongoing,M0-M1,Regular Priority,FiC,,,,,TL1A x OX40L mAb,TL1AxOX40L,Biologics,ANT,Internal,Antagonism,LC81425_IND004,,Systemic Sclerosis,SSc,,10042953,Systemic sclerosis,Ongoing,,,
SAR447537,Development,PHARMA,efdoralprin alfa,SAR447537 - AAT fusion protein,Ongoing,Phase 2,Medium,BiC,,,efdoralprin alfa,,AAT fusion protein,AAT,Biologics,FUP,Acquired,Enzyme replacement therapy,SAR447537_IND001,TRUE,Alpha1- antitrypsin deficiency,AATD,Phase 2,10083869,Alpha-1 antitrypsin deficiency,Ongoing,Rare Diseases,Metabolic Disorders,0.68
SAR447998,Development,PHARMA,CD19 CAR-T (CD8 targeted),SAR447998 - CD19 in vivo CAR-T (CD8 targeted),Ongoing,Preclinical,GATE,FiC,LC81417,LC81417,,,CD19 in vivo CAR-T (CD8 targeted),CD19 CAR-T (CD8 targeted),Biologics,NV GT,Internal,Cytotoxicity,SAR447998_IND001,TRUE,Systemic Lupus Erythematosus,SLE,Preclinical,10042945,Systemic lupus erythematosus,Ongoing,Immuno-inflammation,Rheumatology,0.03
GZ385660,Development,PHARMA,Cerdelga,GZ385660 - Glucosylceramide synthetase sm,Ongoing,LCM,Standard,Little / Uncertain differentiation,,,eliglustat,Cerdelga,Glucosylceramide synthetase sm,GCS,Synthetic,SM,Acquired,Inhibition,GZ385660_IND001,FALSE,Gaucher Disease Type I,GD1,LCM,10018048,Gaucher's disease,Completed,Rare Diseases,,1
LC81674,Research,PHARMA,IL22RA1 x IL31R mAb (+CLC) (LC81674),LC81674 - IL22RA1 x IL31R mAb (+CLC),Ongoing,M0-M1,Regular Priority,FiC,,,,,IL22RA1 x IL31R mAb (+CLC),IL22RA1xIL31R (+CLC),Biologics,ANT,Internal,Antagonism,LC81674_IND001,TRUE,Atopic Dermatitis,AD,,10012438,Dermatitis atopic,Ongoing,Immuno-inflammation,Dermatology,
SP0239,Development,VACCINE,DTaP+IPV+HB+Hib,Diphteria + Tetanus + 2cp Pertussis + Polio + Hep B + Hib combination vaccine,Ongoing,Post-Launch,Medium,BiC,,,,Hexaxim,Active immunization,,Biologics,VAC,Internal,,SP0239_IND001,TRUE,Diphteria+Tetanus+Pertussis+Poliomyelitis+Hepatitis B+ Haemophilus Influenza Type B diseases - China,DT 2cpP Polio Hep B Hib diseases - CN,Initiation,10021430,Immunisation,Ongoing,Vaccines,PPH,0.49
SAR448337,Development,PHARMA,4-1BBxPD1,SAR448337 - 4-1BB x PD1 Hybrid,Ongoing,Preclinical,GATE,FiC,LC81331,LC81331,,,4-1BB x PD1 Hybrid,4-1BBxPD1,Biologics,HYB,Internal,Agonism,SAR448337_IND001,TRUE,Solid Tumors,Solid Tumors,Preclinical,10065252,Solid tumor,Ongoing,Oncology,Other Solid Tumors,0.0667
LC81222,Research,PHARMA,CTPS1 sm (LC81222),LC81222 - CTPS1 sm,Ongoing,M1-M2,Regular Priority,BiC,SAR448447,SAR448447,,,CTPS1 sm,CTPS1,Synthetic,SM,Internal,Inhibition,LC81222_IND004,,Transplantation,Transplant,,10057677,Transplant,Ongoing,,,
SAR449124,Development,PHARMA,Redemplo,SAR449124 - Apolipoprotein C-III siRNA,Ongoing,LCM,Medium,FiC,,,plozasiran,Redemplo,Apolipoprotein C-III siRNA,APOC3 siRNA,Synthetic,OLIG,Licensed,Reduction,SAR449124_IND001,FALSE,Familial chylomicronemia syndrome-China,FCS - CN,LCM,10085051,Familial chylomicronemia syndrome,Completed,DCVM,Cardiovasc & Metabolism Disorders,1
